"","Sample","# ARG","# mobileARG_2","Stage","val"
"MMRS29805707ST","MMRS29805707ST",87,4,"CTRL",4
"MMRS32573774ST","MMRS32573774ST",103,5,"CTRL",5
"MMRS33294861ST","MMRS33294861ST",99,0,"CTRL",0
"MMRS34569532ST","MMRS34569532ST",101,8,"CTRL",8
"MMRS35808664ST","MMRS35808664ST",176,3,"CTRL",3
"MMRS36405092ST","MMRS36405092ST",76,3,"CTRL",3
"MMRS38861560ST","MMRS38861560ST",104,5,"CTRL",5
"MMRS38954404ST","MMRS38954404ST",111,2,"CTRL",2
"MMRS39415781ST","MMRS39415781ST",75,0,"CTRL",0
"MMRS39582183ST","MMRS39582183ST",99,3,"CTRL",3
"MMRS40913371ST","MMRS40913371ST",83,1,"CTRL",1
"MMRS51307502ST","MMRS51307502ST",86,0,"CTRL",0
"MMRS51737257ST","MMRS51737257ST",115,5,"CTRL",5
"MMRS54246132ST","MMRS54246132ST",86,1,"CTRL",1
"MMRS56137463ST","MMRS56137463ST",130,7,"CTRL",7
"MMRS57276462ST","MMRS57276462ST",85,1,"CTRL",1
"MMRS57569834ST","MMRS57569834ST",85,4,"CTRL",4
"MMRS61683006ST","MMRS61683006ST",99,1,"CTRL",1
"MMRS62192467ST","MMRS62192467ST",67,3,"CTRL",3
"MMRS62666492ST","MMRS62666492ST",78,1,"CTRL",1
"MMRS64281551ST","MMRS64281551ST",120,1,"CTRL",1
"MMRS65742083ST","MMRS65742083ST",140,5,"CTRL",5
"MMRS65862658ST","MMRS65862658ST",111,1,"CTRL",1
"MMRS66868025ST","MMRS66868025ST",76,0,"CTRL",0
"MMRS67096717ST","MMRS67096717ST",69,6,"CTRL",6
"MMRS68630931ST","MMRS68630931ST",58,0,"CTRL",0
"MMRS73787048ST","MMRS73787048ST",102,1,"CTRL",1
"MMRS79893829ST","MMRS79893829ST",58,1,"CTRL",1
"MMRS81130264ST","MMRS81130264ST",80,3,"CTRL",3
"MMRS81135225ST","MMRS81135225ST",90,4,"CTRL",4
"MMRS84085284ST","MMRS84085284ST",59,3,"CTRL",3
"MMRS84159866ST","MMRS84159866ST",87,0,"CTRL",0
"MMRS85438660ST","MMRS85438660ST",64,4,"CTRL",4
"MMRS85548821ST","MMRS85548821ST",73,4,"CTRL",4
"MMRS86168210ST","MMRS86168210ST",129,0,"CTRL",0
"MMRS87723283ST","MMRS87723283ST",67,6,"CTRL",6
"MMRS88581325ST","MMRS88581325ST",116,5,"CTRL",5
"MMRS91297590ST","MMRS91297590ST",72,3,"CTRL",3
"MMRS92546335ST","MMRS92546335ST",54,0,"CTRL",0
"MMRS93621581ST","MMRS93621581ST",116,3,"CTRL",3
"MMRS94549160ST","MMRS94549160ST",158,5,"CTRL",5
"MMRS95277876ST","MMRS95277876ST",76,2,"CTRL",2
"MMRS95479054ST","MMRS95479054ST",99,1,"CTRL",1
"MMRS95674036ST","MMRS95674036ST",64,1,"CTRL",1
"MMRS97307143ST","MMRS97307143ST",66,0,"CTRL",0
"MG100150","MG100150",15,0,"CRC",0
"MG100152","MG100152",26,0,"CRC",0
"MG100153","MG100153",39,0,"CTRL",0
"MG100154","MG100154",42,0,"CTRL",0
"MG100127","MG100127",18,0,"CRC",0
"MG100155","MG100155",13,0,"CTRL",0
"MG100160","MG100160",20,1,"CTRL",1
"MG100162","MG100162",18,0,"CTRL",0
"MG100163","MG100163",1,0,"CTRL",0
"MG100164","MG100164",12,0,"CTRL",0
"MG100169","MG100169",16,0,"CTRL",0
"MG100125","MG100125",18,0,"CRC",0
"MG100126","MG100126",23,0,"CRC",0
"MG100128","MG100128",30,2,"CRC",2
"MG100129","MG100129",28,0,"CRC",0
"MG100130","MG100130",29,0,"CRC",0
"MG100131","MG100131",28,2,"CRC",2
"MG100132","MG100132",43,5,"CRC",5
